x0_1.0,x0_2.0,x0_10.0,x0_15.0,x0_17.0,x0_19.0,x0_20.0,x0_22.0,x0_23.0,x0_24.0,x0_25.0,x0_26.0,x0_27.0,x0_28.0,x0_29.0,x0_43.0,x1_0.0,x1_1.0,x2_0.0,x2_1.0,x3_0.0,x3_1.0,views,likes,dislikes,view_log,like_rate,dislike_rate,interaction_rate,total_trending_days
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.09293912269187489,0.019497586173443018,-0.058434967727513824,0.9624299530807486,0.008233996613131433,-0.29788919507496486,0.008294317021869797,
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.21901837531666088,-0.14125357915461897,-0.04299067355827417,1.1203031718372416,-0.8863792133688286,-0.29162613488547084,-0.9619919332839479,
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.24237357266610765,-0.28306371383563167,-0.09285636019782326,-0.3002509651246211,-1.071745995500618,-0.31560020873501526,-1.1275329186177416,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.08389423845651965,-0.1889930232282685,-0.05893518778157827,0.6130552938351546,-0.7607615719571813,-0.21386377639676804,-0.7926389310410882,
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.23613149544412448,-0.08750995216344075,-0.08150761772123623,-0.21342795435816228,2.581571730333863,-0.06237371660636647,2.1630311296414737,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.2099802893411621,-0.2847607724094005,-0.09463839414042784,0.04779580947787604,-1.0971180457924457,-0.3751038381689688,-1.14018830153355,
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.09291836189435868,-0.11156794969553166,-0.05118177694357941,0.5873789366625611,0.04724502706430186,-0.08643875650228434,-0.014536980441382009,
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,12.081161359909563,3.9188791059797725,2.139188048544476,2.85466086576885,-0.7973246084949266,-0.16712727074635628,-0.8849936914276677,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.15993844016793485,-0.1956729346356565,-0.06731387368715767,0.34494521718734134,-0.3525178507427822,-0.13580357317896868,-0.3837163435617709,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.12032058944132931,-0.17366791373687868,-0.07153448039332641,0.5009644161229451,-0.5497630057002675,-0.24563890027540064,-0.574856840998931,
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.3894099080795028,1.7645225662568096,0.11276534577604154,1.7735104255200136,2.139869884847916,-0.14241709619762827,1.8519438947655225,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.1980792273103037,-0.17914079868146454,-0.08275816785639732,0.134657854516244,-0.024134991783061627,-0.22614018878272654,-0.09699298405464073,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.1875002851911194,-0.20177512397537853,-0.05712189008559466,0.20164353877426966,-0.13967939459127776,0.04034075972842333,-0.1881964048705542,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.27096492916630976,-0.2848639370643409,-0.09107432625521868,-1.1672337004955171,-0.9128474351699544,0.3217814404696641,-0.4854526244795695,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.26034052368433513,-0.266619267838139,-0.0897299848599205,-0.6768930826000376,-0.13007366027545947,-0.004835727469954756,0.3169232488692519,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.10386837569737654,-0.01634181495283649,-0.07969432002525262,0.5544877846368979,0.3426112394272953,-0.30000770332406307,0.09382776037709427,
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.27804149278567736,-0.286932388395895,-0.09592020802896796,-3.47536753867275,-0.7405439467987975,0.2311286743330265,-0.4913839911958923,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.13238353503502046,-0.15055903103023904,-0.06503161969048865,0.4580468464699227,-0.3251912972040438,-0.17893585546644658,-0.38421983156589873,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.2523473280276505,-0.2612856551777226,-0.0909805349950816,-0.4766990570962295,-0.19844100722697744,-0.18776110869901208,0.16015010852271694,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.2312860357314095,-0.28051038862585786,-0.08235173906246997,-0.1545083876203275,-1.046896628036069,-0.10943485985249517,-0.6497786949523198,
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.1594978279509859,-0.17281680533362073,-0.08207036528205872,0.34695345180354,-0.24082614143648018,-0.2840007860259027,-0.1912132118666255,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.21824314930548766,-0.18398437923091424,-0.08075728764013956,-0.021954785872837914,0.34171677738289774,-0.14628670010401998,0.5859008188200987,
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.27158937766021135,-0.2751922506636825,-0.09488850416746006,-1.2163708403714746,0.2819622117309174,-0.2343009273926629,-0.039635533538017055,
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.2614326358041979,-0.2836465941360447,-0.09438828411339562,-0.7110674568472596,-0.9901366067229952,-0.30770357810631305,-1.063244307224118,
